id,sci_text
749,"localized brain activation related to the strength of auditory learning in a parrot. parrots and songbirds learn their vocalizations from a conspecific tutor, much like human infants acquire spoken language. parrots can learn human words and it has been suggested that they can use them to communicate with humans. the caudomedial pallium in the parrot brain is homologous with that of songbirds, and analogous to the human auditory association cortex, involved in speech processing. here we investigated neuronal activation, measured as expression of the protein product of the immediate early gene zenk, in relation to auditory learning in the budgerigar (melopsittacus undulatus), a parrot. budgerigar males successfully learned to discriminate two japanese words spoken by another male conspecific. re-exposure to the two discriminanda led to increased neuronal activation in the caudomedial pallium, but not in the hippocampus, compared to untrained birds that were exposed to the same words, or were not exposed to words. neuronal activation in the caudomedial pallium of the experimental birds was correlated significantly and positively with the percentage of correct responses in the discrimination task. these results suggest that in a parrot, the caudomedial pallium is involved in auditory learning. thus, in parrots, songbirds and humans, analogous brain regions may contain the neural substrate for auditory learning and memory. 
"
750,"color, anthocyanin pigment, ascorbic acid and total phenolic compound determination in organic versus conventional strawberries (fragaria x ananassa duch, cv selva). the clel*a*b* and sensory color and anthocyanin, ascorbic acid and total phenolic contents were determined in strawberries (fragaria x ananassa duch, cv selva) grown in the same geographical area of galicia (nw spain) under organic and conventional farming methods. the cultivation system was significant for all of the clel*a*b* surface color parameters. the color of the organic fruits was darker, less vivid and frequently redder (lower l*, c* and h values). these differences were consistent with the higher scores given by assessors in the external color evaluation for organically grown strawberry. furthermore, the organic strawberries had a significantly higher level of anthocyanins (19.3 +/- 6.8 versus 9.8 +/- 1.8 mu g/g fresh wt (fw) for cyn-3-glu; 332.3 +/- 66.5 versus 254.1 +/- 33.6 mu g/g fw for pgd-3-glub) and ascorbic acid (86.4 +/- 12.7 versus 71.2 +/- 4.9 mg/100 g fw); in contrast, the cultivation system (organic or conventional) did not affect the total phenolic content. the organic strawberries have a higher nutritional value, in terms of antioxidant compounds, which is also reflected in better sensory color characteristics. (c) 2012 elsevier inc. all rights reserved. 
"
751,"recent developments on wave propagation in 2-species competition systems. in this paper, we shall survey some recent results on the wave propagation in 2-species competition systems with lotka-volterra type non-linearity. this includes systems with continuous and discrete diffusion (or migration). we are interested in both monostable case and bistable with strong competition case. questions on minimal speed for the monostable case, uniqueness of wave speed and propagation failure in the bistable case, monotonicity and uniqueness of wave profile for both cases are addressed. finally, we give some open problems on wave propagation in 2-species competition systems. 
"
752,"a note on the blow-up criterion of smooth solutions to the 3d incompressible mhd equations. in this note, we will give a new proof of the blow-up criterion of smooth solutions to the 3d incompressible magneto-hydrodynamic equations by a simple application of gagliardo-nirenberg' s inequality. 
"
753,"nanoparticles enhance therapeutic outcome in inflamed skin therapy. inflammatory reactions of the skin are a major therapeutic field; however, drug delivery is nowadays only related to the use of classical formulations like ointments and creams. here, we report the behaviour of polymeric submicron particles (np) for selective drug delivery to the inflamed skin. nps of nominal diameters from 50 to 1000 nm were administered to an experimental dithranol-induced dermatitis inflammation model in mice ears. the results revealed that smaller particles had an around 3-fold stronger and deeper penetration tendency with a preferential accumulation in inflamed skin hair follicles and sebaceous glands (2.8 +/- 0.6% and 2.3 +/- 0.4% for np100 and np50 compared to 0.84 +/- 0.04% and 0.92 +/- 0.02% for the same sizes on healthy skin). betamethasone loaded np confirmed the size dependency by being therapeutically more efficient from histological examination and measurement of different inflammatory markers in the skin (myeloperoxidase activity of untreated control, 1.2 +/- 0.4; np1000, 1.0 +/- 0.4; np100, 0.5 +/- 0.2, all u/mg). this approach holds a high potential for a selective therapy to the inflamed skin by increasing the local intradermal availability with simultaneous reduction in systemic adverse effects. (c) 2012 elsevier by. all rights reserved. 
"
755,"recent advances in the total synthesis of chlorosulfolipids (eur. j. org. chem. 9/2012). the cover picture shows a painting of philippus von hohenheim, also known as paracelsus, by the flemish painter quentin massys (14661529). paracelsus (14931541) was the first to note that the dose alone makes a substance a poison. little is known about the biology, the biochemistry and, importantly, the toxicology of chlorosulfolipids, which constitute a class of polychlorinated natural products that are originally produced by certain fresh- and seawater microalgae species and that have been detected in and isolated from certain edible mussels. to date, the lack of sufficient material has hampered in-depth studies to address these issues. details are presented in the microreview by c. nilewski and e. m. carreira on p. 1685 ff, which summarizes the impressive progress made in the total synthesis of the chlorosulfolipids in recent years, which in turn should enable approaches that address numerous interdisciplinary questions. 
"
756,"stroboscopic observation of quantum many-body dynamics. recent experiments have demonstrated single-site resolved observation of cold atoms in optical lattices. thus, in the future it may be possible to take repeated snapshots of an interacting quantum many-body system during the course of its evolution. here we address the impact of the resulting quantum (anti-)zeno physics on the many-body dynamics. we use the time-dependent density-matrix renormalization group to obtain the time evolution of the full wave function, which is then periodically projected in order to simulate realizations of stroboscopic measurements. for the example of a one-dimensional lattice of spinless fermions with nearest-neighbor interactions, we find regimes for which many-particle configurations are stabilized or destabilized, depending on the interaction strength and the time between observations. 
"
757,"adhesion of human pathogenic enteric viruses and surrogate viruses to inert and vegetal food surfaces. enteric viruses, particularly human noroviruses (nov) and hepatitis a virus (hav), are key food-borne pathogens. the attachment of these pathogens to foodstuff and food-contact surfaces is an important mechanism in the human contamination process. studies were done to investigate the nature of the physicochemical forces, such as hydrophobic and electrostatic ones, involved in the interaction virus/matrix but, at this day, only few data are available concerning surface properties of viruses and prediction of the adhesion capacity of one specific virus onto matrices is still very difficult. 
 the purpose of this study was to propose a reference system, including a representative virus surrogate, able to predict as close as possible behaviour of pathogenic viruses in term of adhesion on inert (stainless steel and polypropylene) and food surfaces (lettuce leaves, strawberries and raspberries). the adhesion of human pathogenic enteric viruses, cultivable strain of hav and non-cultivable strains of human nov (genogroups i and ii), have been quantified and compared to these of human enteric viruses surrogates, included the mnv-1 and three f-specific rna bacteriophages (ms2, ga and q beta). a standardized approach was developed to assess and quantify viral adhesion on tested matrices after a contact time with each virus using real-time rt-pcr. methods used for virus recovery were in accordance with the cen recommendations, including a bovine enterovirus type 1 as control to monitor the efficiency of the extraction process and amplification procedure from directly extracted or eluted samples. the adhesion of human pathogenic viruses, ranging from 0.1 to 2%, could be comparable for all matrices studied, except for nov gii on soft fruits. adhesion percentages obtained for the studied surrogate virus and phages were shown to be comparable to those of hav and nov on inert and lettuce surfaces. the mnv-1 appeared as the best candidate to simulate adhesion phenomena of all human pathogenic enteric viruses on all studied surfaces, while ms2 and ga bacteriophages could be a good alternative as model of viral adhesion on inert and lettuce surfaces. these results will be usable to design relevant experimental systems integrating adhesion behaviour of enteric viruses in the assessment of the efficiency of a technological or hygienic industrial process. (c) 2012 elsevier ltd. all rights reserved. 
"
758,"trunk muscle control in response to (un)expected turns in cart pushing. before altering the travel direction in normal gait, anticipatory activation in trunk muscles is observed, followed by a top-down sequence of rotation of body segments. turning while pushing a cart is a more challenging task for the trunk because of its low stiffness in pushing while walking and the interaction with the high inertia of the cart. 12 healthy subjects pushed a 200 kg cart at shoulder and hip height while making turns (gradual, sharp and unexpected sharp). the normalized electromyogram amplitudes of left (right) lateral and anterior external oblique muscle, and right (left) internal oblique muscle were averaged to represent left (right) trunk rotator muscle activity. the baseline values of trunk rotator muscle activity before the turn and the peak values after the turn were determined. additionally, peak values of hand forces, twisting moments and twisting motions were assessed. before turning, higher trunk rotator muscle activity than in straight pushing without turning was only observed before making a turn in the gradual or sharp turn conditions. after the turn, clockwise twisting motion was associated with a clockwise twisting moment induced by the reaction forces at the left hand. anticipatory activation was initially absent in the unexpected sharp turn, while bilateral trunk rotator muscle activity increased after the turn, indicating co-contraction. in the unexpected turn condition the combination of an uncontrolled twisting motion with delayed muscle activation may increase the potential risk of low-back injury. (c) 2012 elsevier b.v. all rights reserved. 
"
759,"intense red light emission of eu3+-doped sr3b2sio8 for white light-emitting diodes. intense red-emitting phosphors sr3-2xeuxnaxb2sio8 were synthesized via high-temperature solid-state reactions. the crystal structure, luminescent properties, and quantum efficiencies of the as-prepared phosphors, as well as their luminescent thermal quenching capabilities and cie coordinates were investigated for the first time. the results indicated that sr3-2xeuxnaxb2sio8 phosphors could be efficiently excited by the near-ultraviolet light (394 nm) to realize a novel red luminescence corresponding to the electric dipole transition d-5(0)-f-7(2) of eu3+ ions. based on the theoretical calculation, the dipole-dipole interaction was dominantly involved in the mechanism of concentration quenching of eu3+ in the phosphors, and the activation energy for thermal quenching (delta e) was determined to be 0.214 ev. the effects of charge compensation on the luminescence behaviors of sr3-2xeuxnaxb2sio8, where m+ represented a monovalent cation like li+, na+, or k+ acting as a charge compensator, were also investigated. the composition-optimized sr2.80eu0.10na0.10b2sio8 exhibited the preferable cie coordinates of (0.644, 0.350), whose integrated intensity was calculated to be 1.7 times of that of the commercial red phosphor y1.90eu0.10o2s. these results suggest that sr3-2xeuxnaxb2sio8 phosphors are competitive as the promising red-emitting phosphor-converted materials for white light-emitting diodes. (c) 2012 the electrochemical society. [doi: 10.1149/2.073204jes] all rights reserved. 
"
760,"avoiding pitfalls of internal controls: validation of reference genes for analysis by qrt-pcr and western blot throughout rat retinal development. background: housekeeping genes have been commonly used as reference to normalize gene expression and protein content data because of its presumed constitutive expression. in this paper, we challenge the consensual idea that housekeeping genes are reliable controls for expression studies in the retina through the investigation of a panel of reference genes potentially suitable for analysis of different stages of retinal development. 
 methodology/principal findings: we applied statistical tools on combinations of retinal developmental stages to assess the most stable internal controls for quantitative rt-pcr (qrt-pcr). the stability of expression of seven putative reference genes (actb, b2m, gapdh, hprt1, mapk1, ppia and rn18s) was analyzed using genorm, bestkeeper and normfinder software. in addition, several housekeeping genes were tested as loading controls for western blot in the same sample panel, using image j. overall, for qrt-pcr the combination of gapdh and mapk1 showed the highest stability for most experimental sets. actb was downregulated in more mature stages, while rn18s and hprt1 showed the highest variability. we normalized the expression of cyclin d1 using various reference genes and demonstrated that spurious results may result from blind selection of internal controls. for western blot significant variation could be seen among four putative internal controls (bactin, cyclophilin b, alpha-tubulin and lamin a/c), while mapk1 was stably expressed. 
 conclusion: putative housekeeping genes exhibit significant variation in both mrna and protein content during retinal development. our results showed that distinct combinations of internal controls fit for each experimental set in the case of qrt-pcr and that mapk1 is a reliable loading control for western blot. the results indicate that biased study outcomes may follow the use of reference genes without prior validation for qrt-pcr and western blot. 
"
762,"fabrication and operation of tubular segmented-in-series (sis) solid oxide fuel cells (sofc). a tubular segmented-in-series (sis) solid oxide fuel cell (sofc) sub module for intermediate temperature (700800?degrees c) operation was fabricated and operated in this study. for this purpose, we fabricated porous ceramic supports of 3 ysz through an extrusion process and analyzed the basic properties of the ceramic support, such as visible microstructure, porosity, and mechanical strength, respectively. after that, we fabricated a tubular sis sofc single cell by using dip coating and vacuum slurry coating method in the case of electrode and electrolyte, and obtained at 800?degrees c a performance of about 400?mw?cm2. to make a sub module for tubular sis sofc, ten tubular sis sofc single cells with an effective electrode area of 1.1?cm2 were coated onto the surface of the prepared ceramic support and were connected in series by using ag?+?glass interconnect between each single cell. the ten-cell sub module of tubular sis sofc showed in 3% humidified h2 and air at 800?degrees c a maximum power of ca. 390?mw?cm2. 
"
763,"chronic myeloid leukemia: is imatinib first line therapy has been in 2012?. the initial management of chronic myeloid leukemia (cml) in chronic phase is now based solely on treatment with tyrosine-kinase inhibitor (tki). the development of second generation inhibitors and their use in first-line treatment raises the issue of choice of tki in the first prescription. frontline second generation tki treatment is mainly based on the speed and depth of the molecular response in the short and medium term and the higher proportion of obtaining these important responses. however, these drugs have non-haematological side effects; they have been used more recently than imatinib and the survival frequencies currently measured are identical with all the molecules. thus, imatinib remains a crucial molecule in the initial management of cml. however, in the medium term, early treatment changes (at 3 months) based on a molecular stratification should be considered in patients who are non-responders or poor-responders. 
"
764,"anatomy of the digestive tube of sea turtles (reptilia: testudines). this study characterized the morphology of the digestive tube of five species of sea turtles. we used specimens found dead along the coast of the state rio grande do norte, as well as specimens accidentally killed as a result of pelagic longline fishing. nineteen animals of the following species were analyzed: chelonia mydas (linnaeus, 1758) (n = 9), lepidochelys olivacea (eschscholtz, 1829) (n = 6), caretta caretta (linnaeus, 1758) (n = 2), eretmochelys imbricata (linnaeus, 1766) (n = 1) and dermochelys coriacea (vandelli, 1761) (n = 1). after opening the plastron, we removed the digestive organs and described the external and internal morphology of each organ. the esophagus of all species had pointed papillae on the mucosa. the stomach varied in shape among species. differences were found in the mucosa of the small intestine. it was reticular in the duodenum, and longitudinal rectilinear in the jejunum/ileum. in all species an alternation of saccular and narrow regions was observed in the large intestine. the exception was d. coriacea, in which the mucosa of the entire large intestine had irregularly distributed folds. the pattern of the esophagus was the same in all species. the morphology of the stomach differed among species, and these differences reflect their diets. in addition, the distribution pattern of the folds on the mucosa of the small intestine varied between regions of the intestine and among species. 
"
765,"cost and energy density of diet in brazil, 2008-2009. this study aimed to evaluate the relationship between the cost and energy density of diet consumed in brazilian households. data from the brazilian household budget survey (pof 200812009) were used to identify the main foods and their prices. similar items were grouped, resulting in a basket of 67 products. linear programming was applied for the composition of isoenergetic baskets, minimizing the deviation from the average household diet. restrictions were imposed on the inclusion of items and the energy contribution of the various food groups. a reduction in average cost of diet was applied at intervals of r$0.15 to the lowest possible cost. we identified an inverse association between energy density and cost of diet (p &lt; 0.05), and at the lowest possible cost we obtained the maximum value of energy density restrictions on the diet's cost resulted in the selection of diets with higher energy density, indicating that cost of diet may lead to the adoption of inadequate diets in brazil. 
"
766,"mock data challenge for the einstein gravitational-wave telescope. the einstein telescope (et) is conceived to be a third generation gravitational-wave (gw) observatory. its amplitude sensitivity would be a factor 10 better than advanced ligo and virgo and it could also extend the low-frequency sensitivity down to 1-3 hz, compared to the 10-20 hz of advanced detectors. such an observatory will have the potential to observe a variety of different gw sources, including compact binary systems at cosmological distances. et's expected reach for binary neutron star (bns) coalescences is out to redshift z similar or equal to 2 and the rate of detectable bns coalescences could be as high as one every few tens or hundreds of seconds, each lasting up to several days. with such a signal-rich environment, a key question in data analysis is whether overlapping signals can be discriminated. in this paper we simulate the gw signals from a cosmological population of bns and ask the following questions: does this population create a confusion background that limits et's ability to detect foreground sources? how efficient are current algorithms in discriminating overlapping bns signals? is it possible to discern the presence of a population of signals in the data by cross correlating data from different detectors in the et observatory? we find that algorithms currently used to analyze ligo and virgo data are already powerful enough to detect the sources expected in et, but new algorithms are required to fully exploit et data. 
"
768,"enzymatic polymerisation and effect of fractionation of dissolved lignin from eucalyptus globulus kraft liquor. the potential ability of the laccase from myceliophthora thermophila, either alone or with low molecular weight (lmw) additives, to polymerise a dissolved lignin from kraft liquor of eucalypt cooking was investigated. a previous study of enzymatic performance (activity and stability) was carried out using a design experiment methodology. in addition, kraft dissolved lignin (kdl) was fractionated according to two different protocols (solvent extraction and acidic fractionation) in order to identify possible lignin fractions with noticeable polymerisation ability. kdl and its corresponding lignin fractions were treated with laccase and analysed by size exclusion chromatography and fourier transform infrared spectroscopy. the results provide conclusive evidence of notable lignin modifications after incubation with laccase. moreover, lignin fractionation allows to obtain lignin fractions with different chemical characteristics and polymerisation capability. depending on the type of raw lignin, molecular weight can increase from 4- to 21-fold by means of laccase polymerisation. (c) 2012 elsevier ltd. all rights reserved. 
"
769,"non-compliance with digoxin in patients with heart failure and/or atrial fibrillation: a systematic review and meta-analysis of observational studies. background. - digoxin is highly potent and efficacious for treatment of heart failure (hf) and/or atrial fibrillation (af) yet compliance is often poor. 
 aims. - to examine prevalence rates of non-compliance with digoxin; variations between clinical settings, types of non-compliance and methods of detection; and potential factors influencing non-compliance with digoxin. 
 methods. - this was a systematic review and meta-analysis of prospective observational studies of non-compliance with digoxin in patients with hf and/or af, published in english. the studies were identified through these bibliographic databases: medline, embase, cinahl, ipa and cochrane central. subgroup analysis examined the influence of clinical settings, types of non-compliance and methods of detection. 
 results. - ten studies met the inclusion criteria, comprising 1841 patients with hf and/or af. the corresponding prevalence rates of non-compliance for outpatients, after hospital discharge and inpatients were 43.1% (interquartile range [iqr] 29-48%), 25% (95% confidence interval [ci] 12-37%) and 4.5%, respectively. in patients with hf and af co-morbidities, the prevalence rate of non-compliance with digoxin was 38.7% (iqr 27-46%); the corresponding prevalence rates of overdosing and underdosing were 33.04% (iqr 22-49%) and 33.8% (95% cl 25-42%), respectively.rates varied depending on the methods of detecting non-compliance. regularity of prescribed dose, diuretic use, coronary artery bypass, implantable cardioverter-defibrillator, number of office visits and pill boxes demonstrated strong associations with non-compliance with digoxin. 
 conclusions. - non-compliance with digoxin is prevalent among patients with hf and/or af. a better understanding of the factors influencing compliance and improved intervention strategies are necessary to increase digoxin compliance. (c) 2012 published by elsevier masson sas. 
"
770,"a randomized-controlled pilot study comparing icd implantation with and without intraoperative defibrillation testing in patients with heart failure and severe left ventricular dysfunction: a substudy of the raft trial. comparing icd implantation with and without intraoperative defibrillation testing. introduction: the need to perform defibrillation testing (dt) at the time of implantable cardioverter defibrillator (icd) insertion is controversial. in the absence of randomized trials, some regions now perform more than half of icd implants without dt. methods: during the last year of enrolment in the resynchronization for ambulatory heart failure trial, a substudy randomized patients to icd implantation with versus without dt. results: among 252 patients screened, 145 were enrolled; 75 randomized to dt and 70 to no dt. patients were similar in terms of age (65.9 +/- 9.3 years vs 67.9 +/- 8.9 years); lvef (24.7 +/- 4.6% vs 23.6 +/- 4.6%), qrs width (154.8 +/- 23.5 vs 155.8 +/- 23.6 ms), and history of atrial fibrillation (5% vs 6%). all 68 patients in the dt arm tested according to the protocol achieved a successful dt (=25 j); 96% without requiring any system modification. no patient experienced perioperative stroke, myocardial infarction, heart failure (hf), intubation or unplanned icu stay. the length of hospital stay was not prolonged in the dt group: 20.2 +/- 26.3 hours versus 21.3 +/- 23.0 hours, p = 0.79. one patient in the dt arm had a failed appropriate shock and no patient suffered an arrhythmic death. the composite of hf hospitalization or all-cause mortality occurred in 10% of patients in the no-dt arm and 19% of patients in the dt arm (hr = 0.53, 95% ci: 0.211.31, p = 0.14). conclusions: in this randomized trial, perioperative complications, failed appropriate shocks, and arrhythmic death were all uncommon regardless of dt. there was a nonsignificant increase in the risk of death or hf hospitalization with dt. (j cardiovasc electrophysiol, vol. 23, pp. 1313-1316, december 2012) 
"
771,"a personalized medicine approach to biologic treatment of rheumatoid arthritis: a preliminary treatment algorithm. ra is a syndrome consisting of different pathogenetic subsets in which distinct molecular mechanisms may drive common final pathways. recent work has provided proof of principle that biomarkers may be identified predictive of the response to targeted therapy. based on new insights, an initial treatment algorithm is presented that may be used to guide treatment decisions in patients who have failed one tnf inhibitor. key questions in this algorithm relate to the question whether the patient is a primary vs a secondary non-responder to tnf blockade and whether the patient is rf and/or anti-citrullinated peptide antibody positive. this preliminary algorithm may contribute to more cost-effective treatment of ra, and provides the basis for more extensive algorithms when additional data become available. 
"
772,"non-relativistic lee model in two-dimensional riemannian manifolds. this work is a continuation of our previous work [f. erman and o. t. turgut, j. math. phys. 48, 122103 ( 2007)], where we constructed the non-relativistic lee model in three-dimensional riemannian manifolds. here we renormalize the two-dimensional version by using the same methods and the results are shortly given since the calculations are basically the same as in the three-dimensional model. we also show that the ground state energy is bounded from below due to the upper bound of the heat kernel for compact and cartan-hadamard manifolds. in contrast to the construction of the model and the proof of the lower bound of the ground state energy, the mean field approximation to the two-dimensional model is not similar to the one in three dimensions and it requires a deeper analysis, which is the main result of this paper. (c) 2012 american institute of physics. [http://dx.doi.org/10.1063/1.4705355] 
"
